datum,D STOF AT,SVI 5,SVI 10,SVI 15,SVI 20,SVI 25,SVI 30
12/14/2015,3800,20,15,15,15,15,15
12/15/2015,3100,15,15,15,15,15,15
12/21/2015,3500,22.42152466,17.93721973,17.93721973,17.93721973,17.93721973,17.93721973
12/23/2015,5500,21.53846154,18.46153846,18.46153846,15.38461538,15.38461538,15.38461538
12/28/2015,5200,31.25,25,20.83333333,20.83333333,20.83333333,20.83333333
1/5/2016,5200,72.72727273,63.63636364,54.54545455,54.54545455,36.36363636,18.18181818
1/12/2016,6800,68.96551724,17.24137931,16.72413793,16.37931034,16.37931034,16.37931034
1/15/2016,5400,92.59259259,74.07407407,55.55555556,37.03703704,18.51851852,14.81481481
1/22/2016,6100,45.45454545,34.09090909,22.72727273,22.72727273,20.45454545,20.45454545
1/25/2016,3000,23.52941176,23.52941176,23.52941176,23.52941176,18.82352941,18.82352941
1/29/2016,4300,22.72727273,22.72727273,22.72727273,22.72727273,18.18181818,18.18181818
2/1/2016,4500,28.57142857,27.38095238,26.19047619,26.19047619,26.19047619,23.80952381
2/5/2016,4400,25,25,25,25,25,25
2/8/2016,3500,27.54820937,24.79338843,24.79338843,24.79338843,24.79338843,24.79338843
2/12/2016,4200,25,25,25,25,25,25
2/15/2016,4800,29.81651376,29.81651376,27.52293578,27.52293578,27.52293578,27.52293578
2/19/2016,5400,33.03964758,33.03964758,33.03964758,30.83700441,30.83700441,30.83700441
2/22/2016,3800,38.36930456,35.97122302,33.57314149,33.57314149,33.57314149,33.57314149
2/29/2016,4500,29.31034483,27.5862069,24.13793103,24.13793103,24.13793103,24.13793103
3/8/2016,4800,30.36053131,28.4629981,26.5654649,26.5654649,26.5654649,26.5654649
3/11/2016,4400,49.26108374,44.33497537,39.408867,39.408867,39.408867,39.408867
3/14/2016,4200,35.8490566,33.96226415,30.18867925,30.18867925,30.18867925,30.18867925
3/18/2016,4140,39.53488372,39.53488372,37.20930233,34.88372093,32.55813953,27.90697674
3/21/2016,4400,33.70786517,29.96254682,29.96254682,28.08988764,26.21722846,26.21722846
3/24/2016,4300,31.48148148,29.62962963,29.62962963,27.77777778,25.92592593,22.22222222
3/29/2016,3900,30.6122449,30.6122449,26.53061224,24.48979592,24.48979592,24.48979592
4/1/2016,4100,34.63203463,32.46753247,30.3030303,30.3030303,28.13852814,28.13852814
4/5/2016,5000,39.76143141,35.78528827,33.7972167,31.80914513,31.80914513,31.80914513
4/8/2016,4700,42.99363057,33.43949045,28.66242038,28.66242038,28.66242038,27.07006369
4/13/2016,4600,47.61904762,43.80952381,41.9047619,40,40,38.0952381
4/15/2016,5300,66.66666667,63.49206349,58.73015873,47.61904762,41.26984127,34.92063492
4/18/2016,6000,90.26798307,81.80535966,67.70098731,59.23836389,56.41748942,50.77574048
4/22/2016,6000,187.9699248,184.2105263,176.6917293,135.3383459,127.8195489,112.7819549
4/26/2016,5400,244.4444444,166.6666667,144.4444444,133.3333333,111.1111111,111.1111111
4/29/2016,4900,206.4777328,170.0404858,143.7246964,143.7246964,125.5060729,121.4574899
5/3/2016,5000,256.8093385,202.3346304,178.9883268,159.5330739,147.8599222,140.077821
5/10/2016,5100,230.0884956,,,,,135.6932153
5/17/2016,5400,278.7878788,193.9393939,169.6969697,157.5757576,145.4545455,133.3333333
5/20/2016,4800,334.8554033,258.7519026,213.0898021,197.869102,182.6484018,167.4277017
5/23/2016,5100,278.8104089,235.4399009,210.6567534,192.0693928,179.6778191,154.8946716
5/26/2016,5900,297.0885324,207.9619727,190.1366607,172.3113488,160.4278075,148.5442662
5/31/2016,6800,211.2676056,150.2347418,131.4553991,122.0657277,112.6760563,103.286385
6-Jun,6100,,142.5438596,120.6140351,109.6491228,98.68421053,87.71929825
10-Jun,5400,185.8974359,147.4358974,121.7948718,112.1794872,102.5641026,96.15384615
15-Jun,6100,158.974359,115.3846154,97.43589744,87.17948718,82.05128205,76.92307692
20-Jun,7000,116.8831169,97.4025974,84.41558442,74.67532468,71.42857143,64.93506494
23-Jun,5000,144.9275362,134.5755694,82.81573499,75.91442374,72.46376812,69.01311249
